Vehicle Type,Pickup Location,Drop Location,Ride Distance
Auto,Tis Hazari,Sohna Road,20.66
Go Mini,Pataudi Chowk,Jahangirpuri,30.99
Go Mini,Yamuna Bank,Mehrauli,37.77
Auto,Nawada,Ghaziabad,12.64
Auto,Khandsa,Indirapuram,10.3
Auto,Botanical Garden,Mansarovar Park,44.32
Auto,RK Puram,Tughlakabad,24.19
Premier Sedan,Subhash Chowk,Bhiwadi,null
Auto,Inderlok,Saket,33.23
Premier Sedan,Indirapuram,Netaji Subhash Place,null
Go Mini,Pataudi Chowk,Sultanpur,42.28
Go Sedan,Kaushambi,Ambience Mall,25.25
Premier Sedan,Pataudi Chowk,Rohini,3.47
Premier Sedan,Green Park,Ghitorni Village,null
Go Mini,Narsinghpur,IFFCO Chowk,null
Premier Sedan,Sarai Kale Khan,IFFCO Chowk,8.41
Go Sedan,Narsinghpur,GTB Nagar,11.04
Go Sedan,Narsinghpur,Janakpuri,42.13
Auto,Laxmi Nagar,Gwal Pahari,8.03
Go Mini,Vishwavidyalaya,Civil Lines Gurgaon,26.36
Auto,Lajpat Nagar,Noida Sector 62,null
Auto,Adarsh Nagar,Udyog Bhawan,30.61
Go Sedan,Gurgaon Sector 29,Kadarpur,28.49
Auto,ITO,Okhla,null
Go Mini,Shivaji Park,Green Park,13.76
Auto,Shastri Park,New Colony,null
Premier Sedan,Golf Course Road,Indirapuram,26.64
Bike,Ghaziabad,Sikanderpur,18.59
Go Mini,Peeragarhi,Lok Kalyan Marg,null
Auto,Kherki Daula Toll,Chirag Delhi,43.4
Go Mini,Udyog Vihar,Gurgaon Sector 56,25.29
Bike,Pitampura,Chirag Delhi,14.24
Auto,Vidhan Sabha,Jama Masjid,37.2
Go Sedan,Tughlakabad,Netaji Subhash Place,32.92
Auto,Green Park,Subhash Chowk,46.23
Auto,Hero Honda Chowk,Hauz Rani,null
Go Sedan,Rajouri Garden,Arjangarh,19.14
Go Sedan,Cyber Hub,Uttam Nagar,9.91
Bike,Faridabad Sector 15,Kashmere Gate,null
Go Mini,Seelampur,Green Park,null
Go Mini,Azadpur,Welcome,14.12
Bike,Pulbangash,Sadar Bazar Gurgaon,5.05
Auto,Narsinghpur,Indirapuram,12.92
Go Mini,IIT Delhi,Saket,10.77
Auto,Sarojini Nagar,South Extension,null
Go Sedan,Sultanpur,Hauz Rani,null
Auto,Sarai Kale Khan,Rohini,null
Go Mini,Rohini,Shastri Nagar,null
Auto,Qutub Minar,Rohini,25.88
Go Mini,Saket A Block,Subhash Chowk,17.56
Auto,Saidulajab,Udyog Bhawan,null
Bike,Ambience Mall,IGNOU Road,46.4
Auto,Vaishali,Shastri Park,null
Auto,Kirti Nagar,Inderlok,null
Uber XL,DLF Phase 3,Pataudi Chowk,null
Auto,Pataudi Chowk,Moolchand,19.29
Auto,Central Secretariat,Karol Bagh,15.41
Go Mini,Chirag Delhi,Inderlok,47.28
Bike,IIT Delhi,Lajpat Nagar,32.35
Go Sedan,Bahadurgarh,Cyber Hub,null
Auto,Kashmere Gate ISBT,Subhash Chowk,null
Go Mini,Old Gurgaon,Delhi Gate,11.96
Go Mini,Rohini,Hauz Khas,10.87
Go Mini,Saket,Basai Dhankot,42.27
Premier Sedan,DLF City Court,Botanical Garden,22.34
Auto,Ambience Mall,Gurgaon Sector 29,8.16
Auto,Chanakyapuri,Khandsa,null
eBike,New Colony,Vidhan Sabha,9.78
Go Sedan,Vishwavidyalaya,Connaught Place,null
Auto,Udyog Bhawan,Sarojini Nagar,3.83
Premier Sedan,Old Gurgaon,IGI Airport,11.05
Go Sedan,Gurgaon Railway Station,Manesar,18.32
Bike,DLF City Court,Mansarovar Park,null
Go Mini,Saket,Paharganj,null
Premier Sedan,Inderlok,Jor Bagh,3.93
Go Sedan,Bahadurgarh,Jama Masjid,45.02
Premier Sedan,Shastri Park,Tis Hazari,null
Go Sedan,Vasant Kunj,GTB Nagar,null
Auto,Vatika Chowk,South Extension,null
Bike,Gurgaon Sector 56,Cyber Hub,4.48
Premier Sedan,Govindpuri,Tis Hazari,null
Premier Sedan,Subhash Chowk,Patel Chowk,15.37
Go Mini,Bahadurgarh,Botanical Garden,null
Go Sedan,Preet Vihar,Jahangirpuri,null
Go Sedan,Botanical Garden,India Gate,25.23
Premier Sedan,Panipat,Patel Chowk,22.81
Premier Sedan,Chhatarpur,Moti Nagar,null
Auto,Madipur,Model Town,43.81
Go Sedan,Janakpuri,Bhikaji Cama Place,null
Go Mini,Vishwavidyalaya,India Gate,4.45
Go Sedan,Greater Kailash,Chhatarpur,null
Go Sedan,Rajouri Garden,Meerut,9.73
eBike,Chhatarpur,Sikanderpur,15.6
Bike,Shivaji Park,Aya Nagar,null
Auto,Gwal Pahari,Hauz Khas,null
Go Mini,Preet Vihar,Chirag Delhi,17.13
eBike,IMT Manesar,IFFCO Chowk,41.2
Bike,Jasola,Akshardham,15.1
Auto,GTB Nagar,Vasant Kunj,9.89
Go Mini,Rithala,Mayur Vihar,null
eBike,Rajiv Nagar,Dwarka Sector 21,6.35
Bike,Ghitorni Village,Model Town,23.43
Bike,Anand Vihar ISBT,Panchsheel Park,15.08
Bike,Kashmere Gate ISBT,Kaushambi,42.71
Premier Sedan,IFFCO Chowk,Uttam Nagar,null
Go Mini,Kashmere Gate,Anand Vihar ISBT,20.31
Auto,Mundka,IGNOU Road,44.13
Bike,Ghitorni Village,Ardee City,15.08
Go Mini,Ghaziabad,Hauz Rani,14.07
Go Mini,Ashok Park Main,Rohini West,15.41
Go Sedan,ITO,Tilak Nagar,null
Premier Sedan,Govindpuri,Ghitorni Village,9.66
Auto,Noida Sector 62,Jama Masjid,35.78
Uber XL,Subhash Nagar,New Delhi Railway Station,null
Go Mini,Dwarka Sector 21,Rajiv Chowk,43.17
Go Mini,Kaushambi,Dwarka Sector 21,32.23
Premier Sedan,Vinobapuri,Anand Vihar,null
Bike,Rajouri Garden,New Delhi Railway Station,null
Go Sedan,Kanhaiya Nagar,Panchsheel Park,18.37
Premier Sedan,Golf Course Road,Khan Market,19.3
eBike,Shahdara,Kirti Nagar,36.74
Bike,Kalkaji,Faridabad Sector 15,29.05
Go Sedan,Panchsheel Park,Aya Nagar,null
Auto,Tilak Nagar,Lok Kalyan Marg,8.32
Auto,Barakhamba Road,Kirti Nagar,43.26
Auto,Noida Film City,AIIMS,null
Go Mini,Ambience Mall,Aya Nagar,9.2
Auto,IIT Delhi,Shastri Park,26.19
Premier Sedan,Ramesh Nagar,Aya Nagar,null
Go Sedan,New Delhi Railway Station,South Extension,null
Bike,AIIMS,Gurgaon Railway Station,null
Go Mini,Vatika Chowk,Lajpat Nagar,null
Bike,Welcome,Noida Sector 18,null
Auto,Sarai Kale Khan,Panchsheel Park,18.01
Go Mini,New Colony,Connaught Place,null
Premier Sedan,IIT Delhi,Tis Hazari,5.1
Premier Sedan,GTB Nagar,Kanhaiya Nagar,null
Premier Sedan,Barakhamba Road,Uttam Nagar,39.16
Go Mini,Connaught Place,AIIMS,null
Go Mini,Mandi House,Noida Sector 62,null
eBike,IMT Manesar,Dwarka Mor,13.01
Premier Sedan,Sonipat,Faridabad Sector 15,27.57
Auto,Janakpuri,Maidan Garhi,49.07
Go Mini,Kirti Nagar,Ambience Mall,null
Auto,Mehrauli,Ghaziabad,null
Uber XL,Sohna Road,Central Secretariat,null
Premier Sedan,Jasola,Gurgaon Sector 29,39.2
Go Sedan,Vatika Chowk,Karkarduma,null
Premier Sedan,Lok Kalyan Marg,Rajouri Garden,19.04
Go Sedan,Tis Hazari,Model Town,18.05
Auto,Golf Course Road,Vatika Chowk,30.6
Bike,South Extension,Rajiv Chowk,1.82
Premier Sedan,Samaypur Badli,Mayur Vihar,43.44
Go Sedan,IFFCO Chowk,Kaushambi,7.9
Bike,MG Road,Noida Sector 62,6.52
Premier Sedan,Pataudi Chowk,IGNOU Road,9.14
Go Mini,Arjangarh,Central Secretariat,42.62
Go Mini,Panchsheel Park,Kadarpur,16.68
eBike,Connaught Place,IMT Manesar,2.43
Go Sedan,INA Market,Saket,9.83
Go Sedan,Kanhaiya Nagar,MG Road,3.63
Go Mini,Dilshad Garden,IGNOU Road,28.88
Auto,Panipat,Golf Course Road,null
Auto,New Delhi Railway Station,Karol Bagh,null
Go Mini,Janakpuri,Madipur,3.53
Go Mini,Noida Sector 62,Karol Bagh,32.66
Go Mini,Badshahpur,Basai Dhankot,41.57
Bike,Bhiwadi,IGI Airport,43.49
Premier Sedan,Sonipat,Narsinghpur,14
Auto,Kadarpur,IGI Airport,23.18
Bike,Bahadurgarh,Ambience Mall,null
Premier Sedan,Vasant Kunj,Shastri Park,null
Auto,Khandsa,Bhikaji Cama Place,12.37
Premier Sedan,IFFCO Chowk,Sonipat,12.99
Go Mini,Karkarduma,Kanhaiya Nagar,13.45
Go Sedan,India Gate,Ashok Park Main,6.26
Go Sedan,Uttam Nagar,Rajiv Nagar,22.91
Go Sedan,IMT Manesar,Noida Sector 18,38.54
Premier Sedan,Golf Course Road,Model Town,35.87
Premier Sedan,Basai Dhankot,Punjabi Bagh,null
Bike,Moti Nagar,Vasant Kunj,null
Go Sedan,Pragati Maidan,Rajiv Nagar,30.27
Go Mini,Shivaji Park,Vidhan Sabha,5.38
Go Sedan,Sushant Lok,Subhash Nagar,22.81
eBike,Nehru Place,Vinobapuri,8.76
Go Sedan,Sohna Road,Akshardham,18.29
Go Mini,Subhash Nagar,Hauz Rani,30.09
Go Sedan,Gurgaon Railway Station,Kanhaiya Nagar,null
Auto,Rohini,Chandni Chowk,null
Go Sedan,Vishwavidyalaya,Noida Extension,null
Bike,Yamuna Bank,Nawada,null
Go Mini,Hero Honda Chowk,Peeragarhi,8.4
Premier Sedan,Delhi Gate,Indirapuram,25.38
Auto,Golf Course Road,Kirti Nagar,7.23
Premier Sedan,Sushant Lok,Laxmi Nagar,null
Premier Sedan,Pragati Maidan,Pataudi Chowk,18.94
Go Mini,Rithala,Sikanderpur,14.2
Uber XL,Jor Bagh,Tughlakabad,null
Premier Sedan,Shastri Nagar,Ghitorni,46.59
Go Mini,Akshardham,Palam Vihar,null
Go Mini,Sohna Road,Karol Bagh,null
Go Sedan,Jama Masjid,Palam Vihar,39.17
Auto,INA Market,Kaushambi,31.08
Go Sedan,Vatika Chowk,Central Secretariat,null
Premier Sedan,INA Market,Khan Market,33.4
Auto,Saidulajab,Tis Hazari,30.84
eBike,Jama Masjid,Nehru Place,10.78
Premier Sedan,Badarpur,Kalkaji,45.48
Uber XL,Vatika Chowk,Gurgaon Sector 56,33.06
Go Sedan,Bhikaji Cama Place,Maidan Garhi,34.17
Go Sedan,Mansarovar Park,Rithala,42.48
Uber XL,Tughlakabad,Patel Chowk,19.79
Bike,Uttam Nagar,Gurgaon Railway Station,19.56
Go Mini,Rajiv Nagar,Ashok Vihar,7.47
Go Sedan,Barakhamba Road,Basai Dhankot,46.67
Uber XL,Moolchand,Tis Hazari,45.67
Bike,DLF Phase 3,Rajiv Chowk,27.34
Go Sedan,Munirka,Rithala,48.03
Auto,New Delhi Railway Station,Jhilmil,7.75
eBike,Greater Noida,Maidan Garhi,34.55
Bike,Panipat,Rajouri Garden,24.28
Auto,Kirti Nagar,Khandsa,30.47
Go Sedan,Kadarpur,Khandsa,null
Go Mini,Noida Sector 18,Nirman Vihar,21.88
Go Sedan,Hero Honda Chowk,MG Road,null
Go Sedan,INA Market,Satguru Ram Singh Marg,null
Go Mini,Noida Sector 18,Pitampura,45.4
Go Sedan,Pragati Maidan,Akshardham,38.57
eBike,Gurgaon Railway Station,Yamuna Bank,45.35
Go Sedan,Seelampur,Panipat,27.77
Auto,Greater Kailash,Moolchand,35.41
Go Mini,Noida Sector 18,Sultanpur,9.96
Bike,Mayur Vihar,Old Gurgaon,38.21
Auto,Jama Masjid,Lajpat Nagar,14.57
Auto,Karol Bagh,Vatika Chowk,9.13
Bike,Sonipat,New Colony,3.69
Bike,Green Park,Uttam Nagar,15.86
Auto,Manesar,Ghaziabad,25.23
Go Mini,Shivaji Park,Bhiwadi,null
Go Sedan,Peeragarhi,Saket,5.58
Go Sedan,DLF City Court,Pulbangash,28.1
Go Mini,Ashok Park Main,Karol Bagh,null
Premier Sedan,Ghitorni,Pitampura,10.59
Uber XL,Cyber Hub,Welcome,19.08
Auto,Janakpuri,Welcome,44.52
Go Sedan,Saket A Block,Peeragarhi,15.37
Premier Sedan,Ramesh Nagar,Tilak Nagar,17.36
Bike,Rithala,Punjabi Bagh,null
Go Sedan,Basai Dhankot,Saket A Block,null
Go Mini,IMT Manesar,Kaushambi,10.22
Auto,Indirapuram,ITO,35.97
Auto,Badshahpur,Chanakyapuri,null
Premier Sedan,South Extension,Panipat,13.91
Bike,Munirka,DLF City Court,7.48
Premier Sedan,Nawada,IGNOU Road,40.74
Bike,Madipur,Raj Nagar Extension,null
Premier Sedan,Aya Nagar,Preet Vihar,45.13
Bike,Mundka,Noida Extension,6
Auto,Azadpur,Noida Sector 18,36.26
Premier Sedan,Indirapuram,Adarsh Nagar,null
Auto,Shastri Nagar,Jor Bagh,21.84
Premier Sedan,Satguru Ram Singh Marg,Model Town,null
Go Sedan,Chhatarpur,Laxmi Nagar,41.77
Go Mini,Gurgaon Sector 29,MG Road,4.82
Go Sedan,Samaypur Badli,Delhi Gate,null
eBike,Ashok Park Main,Jahangirpuri,15.36
Premier Sedan,Janakpuri,IGI Airport,9.66
Bike,Connaught Place,Chhatarpur,24.36
Go Mini,Anand Vihar ISBT,Maidan Garhi,44.39
Bike,Ghaziabad,Chhatarpur,49.65
Go Mini,Rohini East,Moolchand,30.27
Auto,Noida Film City,Noida Extension,null
Auto,Gurgaon Sector 29,Kaushambi,35.97
Auto,Rajiv Chowk,Subhash Chowk,28.52
Go Sedan,Subhash Nagar,Rohini,24.24
Go Mini,Nehru Place,Bhikaji Cama Place,49.69
Go Mini,IGI Airport,Anand Vihar,48.17
eBike,Delhi Gate,Botanical Garden,27.79
Auto,Punjabi Bagh,Connaught Place,28.5
Premier Sedan,Karol Bagh,Model Town,null
Bike,Cyber Hub,Kalkaji,21.39
Go Sedan,Greater Noida,Shastri Park,16.95
eBike,Indirapuram,Bhikaji Cama Place,48.93
Bike,Connaught Place,Peeragarhi,null
Auto,Chandni Chowk,Uttam Nagar,35.87
Go Sedan,MG Road,Anand Vihar ISBT,null
Auto,Gurgaon Sector 56,Udyog Vihar,null
Go Mini,Sarojini Nagar,Paschim Vihar,49.99
Go Mini,Govindpuri,Panchsheel Park,null
Uber XL,Badshahpur,DLF Phase 3,null
Auto,Noida Film City,Gwal Pahari,20.48
Bike,Lal Quila,Rohini West,13.01
Go Sedan,Anand Vihar,AIIMS,null
Premier Sedan,Nawada,Delhi Gate,null
Premier Sedan,Khandsa,Sarai Kale Khan,35.12
Auto,Sarai Kale Khan,Green Park,29.36
Auto,DLF City Court,Ashram,27.17
eBike,Cyber Hub,Mehrauli,2.24
Auto,Shastri Park,Indirapuram,37.65
Auto,Kashmere Gate ISBT,Vaishali,6.9
Go Sedan,Punjabi Bagh,Janakpuri,43.06
Bike,Indirapuram,Ghitorni,null
Auto,Hauz Rani,IIT Delhi,null
Premier Sedan,India Gate,Noida Sector 62,42.21
Go Mini,Panchsheel Park,Maidan Garhi,25.61
Go Sedan,Munirka,Janakpuri,13.96
Auto,Kadarpur,GTB Nagar,null
Go Mini,Model Town,Lok Kalyan Marg,26.13
Premier Sedan,Mandi House,Tilak Nagar,null
Premier Sedan,Pragati Maidan,Rajiv Chowk,2.27
Premier Sedan,Patel Chowk,Golf Course Road,25.61
eBike,Vatika Chowk,Lajpat Nagar,null
Go Sedan,Manesar,ITO,26.52
Go Sedan,Jasola,Sadar Bazar Gurgaon,null
Bike,AIIMS,Badshahpur,28.44
Auto,Paharganj,Ardee City,null
Bike,DLF Phase 3,Arjangarh,null
Go Mini,Indirapuram,Maidan Garhi,3.27
Go Sedan,Greater Kailash,Govindpuri,44.92
Bike,Nirman Vihar,Sohna Road,28.95
Auto,Pulbangash,Sikanderpur,null
Premier Sedan,Moolchand,Jasola,44.43
Go Sedan,Bhikaji Cama Place,IIT Delhi,7.05
Auto,Maidan Garhi,IGNOU Road,49.57
Premier Sedan,Sushant Lok,Panipat,8.14
Bike,Green Park,IFFCO Chowk,null
Go Sedan,Jama Masjid,Noida Extension,20.03
Bike,Greater Noida,Sultanpur,37.33
eBike,Rithala,Vidhan Sabha,null
Premier Sedan,Saidulajab,Raj Nagar Extension,40.02
Auto,Ashok Park Main,AIIMS,8.83
Bike,Hero Honda Chowk,AIIMS,null
Premier Sedan,Ghitorni Village,DLF City Court,null
Auto,IFFCO Chowk,Jahangirpuri,12.88
Go Mini,Tughlakabad,Malviya Nagar,null
Premier Sedan,Rithala,Patel Chowk,null
Premier Sedan,MG Road,IGI Airport,29.77
Bike,Pataudi Chowk,ITO,33.22
Go Sedan,Green Park,Pulbangash,27.69
Premier Sedan,Dilshad Garden,Bhiwadi,null
Go Sedan,IGNOU Road,Udyog Vihar,3.34
Auto,Kanhaiya Nagar,Dilshad Garden,39.58
eBike,Chandni Chowk,Panipat,37.1
Auto,Faridabad Sector 15,Lal Quila,17.01
Go Sedan,Azadpur,Vatika Chowk,45.02
Auto,Pragati Maidan,Malviya Nagar,null
Premier Sedan,Paharganj,Okhla,11.82
Bike,Rithala,Hauz Rani,null
Go Sedan,South Extension,Inderlok,45.45
Go Mini,Rajouri Garden,Keshav Puram,19.18
Go Mini,Sadar Bazar Gurgaon,Shivaji Park,null
Auto,South Extension,Botanical Garden,44.7
Go Sedan,Udyog Bhawan,Sadar Bazar Gurgaon,22.41
Premier Sedan,Pragati Maidan,Civil Lines Gurgaon,42
Auto,Delhi Gate,Kashmere Gate ISBT,null
Auto,Panipat,Lok Kalyan Marg,38.38
Go Sedan,Saket,Uttam Nagar,38.3
Auto,Golf Course Road,Uttam Nagar,null
Auto,Indraprastha,Sushant Lok,18.92
Uber XL,Shahdara,Punjabi Bagh,45.54
Bike,Barakhamba Road,Saidulajab,31.8
Go Sedan,Karol Bagh,Kanhaiya Nagar,25.2
Go Mini,Green Park,Lajpat Nagar,null
eBike,Vishwavidyalaya,Malviya Nagar,7.8
Bike,Sonipat,Ashok Park Main,null
Auto,Anand Vihar,Uttam Nagar,40.17
Auto,Ashram,Connaught Place,33.39
Auto,Lok Kalyan Marg,Sultanpur,33.42
Go Sedan,Faridabad Sector 15,Badarpur,null
Bike,DLF City Court,Kalkaji,33.12
Go Mini,Barakhamba Road,Vishwavidyalaya,10.87
Go Sedan,GTB Nagar,Kaushambi,20.47
Auto,Vaishali,Sarojini Nagar,3.09
Auto,IFFCO Chowk,Udyog Vihar Phase 4,22.45
Auto,Rohini East,Mandi House,25.8
eBike,Tagore Garden,Pulbangash,37.2
Go Mini,RK Puram,Chirag Delhi,null
Auto,Tagore Garden,Samaypur Badli,null
Bike,Gurgaon Sector 56,Cyber Hub,null
Go Sedan,Okhla,Pulbangash,20.82
Auto,MG Road,Hauz Rani,25.59
Auto,New Delhi Railway Station,Dilshad Garden,null
eBike,Faridabad Sector 15,Indirapuram,15.37
Auto,Panipat,Netaji Subhash Place,23.83
eBike,Kashmere Gate ISBT,Khan Market,31.12
Auto,Akshardham,Ashok Vihar,null
Auto,Malviya Nagar,Azadpur,18.21
Premier Sedan,Rithala,IMT Manesar,40.97
eBike,Keshav Puram,India Gate,null
eBike,Narsinghpur,Ramesh Nagar,3.92
Go Mini,Ghaziabad,Model Town,46.23
Go Sedan,IGNOU Road,Samaypur Badli,11.79
Premier Sedan,Sonipat,Connaught Place,41.5
Auto,Sarojini Nagar,Gwal Pahari,22.77
Auto,Khandsa,Peeragarhi,46.28
Bike,Mehrauli,Badarpur,44.39
Auto,Karol Bagh,Arjangarh,47.1
Auto,Jasola,Model Town,null
Go Sedan,Sultanpur,Keshav Puram,25.04
Auto,Rohini East,Panipat,47.14
Premier Sedan,Panipat,Greater Noida,null
Auto,IGNOU Road,Ramesh Nagar,null
Auto,Chandni Chowk,Sarojini Nagar,null
Auto,Civil Lines Gurgaon,Narsinghpur,7.08
Go Sedan,Vidhan Sabha,Karol Bagh,10.81
Auto,Sarai Kale Khan,Seelampur,null
Auto,GTB Nagar,Delhi Gate,null
Go Mini,Ambience Mall,Laxmi Nagar,32.6
Go Sedan,Udyog Vihar Phase 4,Jama Masjid,44.56
Go Sedan,Meerut,Noida Sector 18,5.47
Bike,Tagore Garden,Sarai Kale Khan,null
Auto,Chandni Chowk,Sultanpur,null
eBike,Kadarpur,Chirag Delhi,null
Auto,Sohna Road,Basai Dhankot,null
eBike,Jahangirpuri,Delhi Gate,16.85
Go Sedan,Netaji Subhash Place,Kadarpur,46.84
Auto,Kaushambi,Noida Sector 62,3.02
Premier Sedan,Ramesh Nagar,Sikanderpur,null
Go Sedan,Rajiv Chowk,Civil Lines Gurgaon,5.72
eBike,Vishwavidyalaya,Bahadurgarh,null
Go Sedan,Vinobapuri,Ardee City,null
Go Mini,Seelampur,Okhla,null
Bike,Greater Kailash,Dilshad Garden,null
Auto,Dwarka Sector 21,Kashmere Gate,45.46
Auto,Keshav Puram,Manesar,null
Go Sedan,Samaypur Badli,Pulbangash,20.65
eBike,Karol Bagh,Punjabi Bagh,28.27
Premier Sedan,Rajouri Garden,Ghitorni Village,22.8
Bike,Rohini East,Hero Honda Chowk,40.43
Auto,Cyber Hub,Khan Market,28.72
Auto,Anand Vihar,Delhi Gate,17.72
Go Sedan,Sohna Road,Kirti Nagar,null
Premier Sedan,Palam Vihar,Khandsa,4.62
Go Mini,Greater Noida,Noida Extension,29.75
Go Mini,Yamuna Bank,Golf Course Road,47.74
Go Sedan,Rajiv Nagar,Vidhan Sabha,null
Auto,Sarojini Nagar,Tilak Nagar,null
Go Sedan,New Delhi Railway Station,Faridabad Sector 15,null
Go Sedan,Sarai Kale Khan,Qutub Minar,7.03
Go Mini,IGNOU Road,Vinobapuri,null
Auto,Bahadurgarh,Sultanpur,null
Uber XL,GTB Nagar,Ashram,27.39
Auto,Jama Masjid,Cyber Hub,20.95
Auto,Khandsa,Gwal Pahari,null
eBike,Noida Sector 18,Model Town,12.44
Bike,Sonipat,Greater Kailash,12.51
Premier Sedan,Udyog Vihar,Rohini East,null
Go Sedan,Malviya Nagar,Model Town,null
Go Sedan,Tis Hazari,Old Gurgaon,38.26
Premier Sedan,Golf Course Road,Noida Extension,12.81
Go Mini,Ashok Park Main,RK Puram,null
Go Sedan,IMT Manesar,Dwarka Sector 21,31.25
Go Mini,Raj Nagar Extension,Tughlakabad,16.61
Uber XL,Barakhamba Road,Peeragarhi,null
Bike,Subhash Nagar,Hauz Rani,21.57
Auto,Dwarka Mor,AIIMS,19.96
Premier Sedan,Badarpur,Bahadurgarh,14.28
Auto,Noida Sector 62,Tughlakabad,13.34
Go Mini,Saidulajab,GTB Nagar,11.99
Auto,Chhatarpur,Munirka,null
Go Mini,South Extension,Nawada,null
Bike,Laxmi Nagar,Mayur Vihar,48.96
Auto,Rajiv Nagar,Noida Film City,29.71
Auto,Samaypur Badli,Ashram,null
Premier Sedan,India Gate,Udyog Bhawan,23.75
Go Sedan,ITO,Chanakyapuri,18.05
Go Mini,Sadar Bazar Gurgaon,Vinobapuri,8.83
Auto,Maidan Garhi,Kadarpur,24.18
Go Mini,Golf Course Road,Rajiv Nagar,null
Premier Sedan,Rithala,Nirman Vihar,9.31
Auto,Kashmere Gate,Bhikaji Cama Place,24.29
Premier Sedan,Greater Kailash,Bhikaji Cama Place,16.66
Go Sedan,Udyog Bhawan,Dwarka Mor,3.06
eBike,Shastri Park,Pragati Maidan,25.69
Go Mini,Sultanpur,Kanhaiya Nagar,49.66
Auto,Mayur Vihar,Moti Nagar,26.3
Bike,Jasola,Shahdara,null
Go Mini,IGNOU Road,RK Puram,null
eBike,Kirti Nagar,Tughlakabad,8.86
Auto,Rohini West,Palam Vihar,44.39
Premier Sedan,Anand Vihar ISBT,Bahadurgarh,27.81
Auto,Narsinghpur,Mansarovar Park,30.57
Auto,Palam Vihar,Seelampur,1.32
Go Mini,Gurgaon Railway Station,Rajiv Nagar,5.19
eBike,Patel Chowk,Karol Bagh,15.26
Go Mini,Aya Nagar,Kashmere Gate ISBT,25.35
Auto,Gurgaon Railway Station,Sonipat,23.69
Auto,Mundka,Punjabi Bagh,40.65
Go Mini,RK Puram,Subhash Nagar,18.84
Uber XL,Gurgaon Sector 29,Vaishali,null
eBike,Shahdara,Bhikaji Cama Place,49.79
Premier Sedan,Tis Hazari,Noida Film City,14.42
Auto,New Delhi Railway Station,Chandni Chowk,5.62
Auto,Arjangarh,New Colony,48.38
Go Mini,Mehrauli,Sarai Kale Khan,43.02
Go Sedan,AIIMS,Tagore Garden,19.15
Bike,Keshav Puram,Sikanderpur,48.65
Bike,IGNOU Road,India Gate,null
Premier Sedan,Ashok Park Main,Janakpuri,null
Auto,Khan Market,Ashok Park Main,43.86
Go Mini,Jahangirpuri,Pataudi Chowk,40.65
Go Mini,Bahadurgarh,IMT Manesar,31.82
eBike,IGI Airport,Central Secretariat,12.15
Premier Sedan,Karkarduma,Raj Nagar Extension,15.22
Go Mini,Ghaziabad,Laxmi Nagar,null
Go Mini,Mehrauli,Moolchand,15.41
Go Mini,Yamuna Bank,Sarai Kale Khan,22.68
Auto,Indirapuram,Paharganj,22.12
Go Mini,Noida Sector 62,Maidan Garhi,27.66
Auto,Madipur,Ambience Mall,null
eBike,Sonipat,Shastri Nagar,22.62
Auto,Pulbangash,Vinobapuri,14.94
Go Mini,Indraprastha,Jhilmil,45.04
Go Sedan,Ghaziabad,Meerut,null
Go Sedan,Sultanpur,Rohini,22.3
Bike,Chirag Delhi,Civil Lines Gurgaon,11.88
Go Mini,Lajpat Nagar,New Delhi Railway Station,8.82
Bike,Qutub Minar,Kashmere Gate ISBT,26.74
Premier Sedan,Kalkaji,Panipat,41.21
Go Sedan,Sonipat,Shivaji Park,null
Go Mini,South Extension,Greater Noida,48.5
Go Sedan,Inderlok,Sultanpur,15.14
eBike,Moolchand,Model Town,48.41
Auto,Rithala,IGNOU Road,13.51
Go Mini,Qutub Minar,Gurgaon Railway Station,null
Go Sedan,Munirka,Adarsh Nagar,21.8
Go Mini,Mehrauli,Kaushambi,null
Bike,Chanakyapuri,Aya Nagar,12.51
Go Sedan,Anand Vihar,Maidan Garhi,26.06
Auto,Yamuna Bank,Greater Noida,16.77
Auto,Bhikaji Cama Place,Badshahpur,null
Auto,Shivaji Park,Moolchand,14.75
Go Mini,Lajpat Nagar,DLF Phase 3,7.78
Go Mini,Kaushambi,Shastri Park,42.4
Go Sedan,Khan Market,Vasant Kunj,null
Go Mini,Laxmi Nagar,Khandsa,null
Premier Sedan,Vatika Chowk,Mandi House,31.62
Auto,Panipat,Faridabad Sector 15,43.12
Bike,Preet Vihar,Sikanderpur,null
Auto,Ramesh Nagar,Ambience Mall,7.43
Auto,IIT Delhi,Khandsa,5.12
Go Mini,Ghitorni,Tilak Nagar,19.12
Auto,Karkarduma,DLF City Court,39
Bike,Ambience Mall,Mayur Vihar,28.32
Auto,Welcome,Kadarpur,31.44
Uber XL,Aya Nagar,Moti Nagar,33.3
Bike,Chanakyapuri,Rithala,38.7
Go Mini,Vaishali,Samaypur Badli,44.92
Go Mini,Samaypur Badli,Old Gurgaon,37.3
Go Mini,Botanical Garden,Samaypur Badli,10.43
Premier Sedan,Rajouri Garden,Badshahpur,11.07
Bike,Civil Lines Gurgaon,Vaishali,null
Auto,Barakhamba Road,Jor Bagh,42.05
Go Sedan,Pataudi Chowk,Adarsh Nagar,25.06
Auto,Subhash Nagar,New Delhi Railway Station,null
Go Mini,RK Puram,Lok Kalyan Marg,3.51
Go Mini,Vidhan Sabha,Hauz Rani,9.02
Go Sedan,Akshardham,Seelampur,9.78
